,TotalSteps,Calories
900,1831,2015
901,2421,2297
902,2283,2067
903,0,1688
904,0,1688
905,0,1688
906,0,1688
907,0,1688
908,0,57
909,23186,3921
910,15337,3566
911,21129,3793
912,13422,3934
913,29326,4547
914,15118,3545
915,11423,2761
916,18785,3676
917,19948,3679
918,19377,3659
919,18258,3427
920,11200,3891
921,16674,3455
922,12986,3802
923,11101,2860
924,23629,3808
925,14890,3060
926,9733,2698
927,27745,4398
928,10930,2786
929,4790,2189
930,10818,2817
931,18193,3477
932,14055,3052
933,21727,4015
934,12332,4142
935,10686,2847
936,20226,3710
937,10733,2832
938,21420,3832
939,8064,1849
